paper,citedby,year
pieraccini2013modelling,,
chaurasia2013molecular,,
haar2015supramolecular,,
conti2015accurate,,
bonacchi2015surface,,
conti2016perchlorination,,
conti2016predicting,,
pieraccini2013modelling,smiatek2014osmolyte,2014
haar2015supramolecular,conti2015accurate,2015
haar2015supramolecular,bonacchi2015surface,2015
haar2015supramolecular,ahadian2015facile,2015
conti2015accurate,yilmazer2015enhanced,2015
conti2015accurate,bonacchi2015surface,2015
chaurasia2013molecular,tintori2015investigation,2015
bonacchi2015surface,yokoyama2015photoinduced,2015
bonacchi2015surface,elgarah2015nanopatterning,2015
haar2015supramolecular,elgarah2015nanopatterning,2015
haar2015supramolecular,mazzaro2015uniform,2015
haar2015supramolecular,zappacosta2015liposome,2015
bonacchi2015surface,zhou2015molecular,2015
haar2015supramolecular,xing2015selfassembly,2015
haar2015supramolecular,parvez2015exfoliation,2015
haar2015supramolecular,shang2015facile,2015
conti2015accurate,pykal2015modelling,2015
haar2015supramolecular,shim2015effect,2015
haar2015supramolecular,samori2015graphene,2015
bonacchi2015surface,gong2015orthogonal,2015
haar2015supramolecular,haar2015enhancing,2015
bonacchi2015surface,dijken2015acylhydrazones,2015
conti2015accurate,conti2016perchlorination,2016
bonacchi2015surface,conti2016perchlorination,2016
haar2015supramolecular,conti2016perchlorination,2016
haar2015supramolecular,althumayri2016influence,2016
haar2015supramolecular,russell2016peptide,2016
haar2015supramolecular,backes2016spectroscopic,2016
conti2015accurate,kamachi2016lowmode,2016
haar2015supramolecular,shin2016synthesis,2016
bonacchi2015surface,xu2016structural,2016
haar2015supramolecular,ciesielski2016supramolecular,2016
haar2015supramolecular,dobbelin2016light,2016
haar2015supramolecular,noroozi2016environmental,2016
bonacchi2015surface,maeda2016rational,2016
bonacchi2015surface,liao2016diarylethene,2016
haar2015supramolecular,park2016graphene,2016
conti2015accurate,yilmazer2016recent,2016
haar2015supramolecular,xia2016electrochemical,2016
chaurasia2013molecular,andersen2016mproving,2016
bonacchi2015surface,sarter2016role,2016
pieraccini2013modelling,adamczak2016molecular,2016
bonacchi2015surface,hu2016stm,2016
haar2015supramolecular,haar2016liquid,2016
conti2016perchlorination,haar2016liquid,2016
bonacchi2015surface,stubing2016comparative,2016
conti2015accurate,yilmazer2016prospects,2016
haar2015supramolecular,wang2016simplified,2016
bonacchi2015surface,elemans2016externally,2016
haar2015supramolecular,guo2016recent,2016
haar2015supramolecular,conti2016predicting,2016
bonacchi2015surface,conti2016predicting,2016
conti2015accurate,conti2016predicting,2016
conti2016perchlorination,conti2016predicting,2016
pieraccini2013modelling,schroer2016stabilizing,2016
